Id,Original Sentence,Corrected Sentence
398,Güzel bir dünya Bu dünyada yaşan her kişi güzel bir dünyada yaşamak istiyor diye düşünüyorum.,Güzel Bir Dünya Bu dünyada yaşayan her kişi güzel bir dünyada yaşamak istiyor diye düşünüyorum.
441,"Senin şu an yaşadıklarını en iyi ben idrak edip, seninle empati kurabilirim çünkü bende üniversiteyi kazandığımda aynı sorunlarla karşı karşıya kalmıştım.",Senin şu an yaşadıklarını en iyi ben idrak edip seninle empati kurabilirim çünkü ben de üniversiteyi kazandığımda aynı sorunlarla karşı karşıya kalmıştım.
463,Sosyal medya aşırı kullananlar artık sanal bir dünya yaşıyorlar.,Sosyal medyayı aşırı kullananlar artık sanal bir dünyada yaşıyorlar.
414,"Hayat koskocaman bir sınavdır, bu sınavda başarılı olmak için bilinçli olmalıyız, işlerimizi önem sırasına göre yapmalıyız ve bilge insanlardan deneğimlerini rica etmeliyiz.","Hayat koskocaman bir sınavdır, bu sınavda başarılı olmak için bilinçli olmalıyız, işlerimizi önem sırasına göre yapmalıyız ve bilge insanlardan deneyimlerini paylaşmalarını rica etmeliyiz."
455,"“yanlışın neresinden dunersen kar” ata sözünde hiç akılara getirmiyorlar, ilk başlarda belkide bir düşünüyorlar “başka bir de baksamı diye” ama sonra aldıkları maaşı düşününce vazgeçiyorlar, bunu yapanlar sadece eğitim güren insanlar değil, çoğu kişi hayatlarını daha iyi yaşamak için kendini mecbur hissediyor, hiç rahat olmadığı bir işten sadece parası iyi deye o işten çıkmaya yanaşmıyorlar.","“Yanlışın neresinden dönersen kar."" atasözünü de hiç akıllarına getirmiyorlar. İlk başlarda belki de   başka bir iş baksam mı diye düşünüyorlar ama sonra aldıkları maaşı düşününce vazgeçiyorlar. Bunu yapanlar sadece eğitim görmüş insanlar değil. Çoğu kişi hayatını daha iyi yaşamak için kendini bir şeyler yapmak zorundaymış gibi hissediyor, hiç rahat olmadığı bir işten sadece parası iyi diye   ayrılmaya yanaşmıyorlar."
390,tabi derler ki parayı veren düdüğü çalar Onun beş arkadaşı varmış ama onun gibi zeki değilmiş.,"Tabii derler ki ""Parayı veren düdüğü çalar."" Onun beş arkadaşı varmış ama onun gibi zeki değillermiş."
408,Ama istedim tarih ünüversitede çıkmadı.,Ama istediğim tarihte üniversitede kur açılmadı.
436,"Diğer tarafta, ev daha rahatlı.","Diğer taraftan, ev daha rahat."
424,Yurtta da bol arkadaş birlikte okula gidebilirsiniz ve birlikte de dönebilirsiniz.,Ayrıca yurtta çok arkadaş var birlikte okula gidebilirsiniz ve birlikte   yurda dönebilirsiniz.
500,Mektubunuzu göndermek için yine teşekkür ederiz.,Mektubunuzu gönderdiğiniz için yeniden teşekkür ederiz.
865,"Gezmek de çok önemli çünkü farklı yerler, ülkeler veya şehirler görebiliyoruz.","Gezmek de çok önemli çünkü insanlar farklı yerleri, ülkeleri veya şehirleri görebiliyorlar."
